"동별(1)","구분별(1)",1992,1993,1994,1995,1996,1997,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"합계","65세이상 인구",434348,444277,452962,458918,467766,483988,1049425,1110995,1167177,1221616,1267563,1300877,1365126,1416131,1485272,1568331,16054
